# 1  # the knock-out nucleon is proton(1), neutron(-1)
# 1  # Off-Shell effects included (1) not included (0)
# 1  # only pole term in FSI (0), pole+PV (1) 
# 1  # it calculates d\sigma/dE'_e d\Omega_e d\Omega_pf
# 12  # icon = 0 initialization, 1 - PWIA, 2 -forward rescattering, 3 - charge exchange rescattering 
#         12 - PWIA+FSI, 13 - PWIA+CHEX, 123 - PWIA+FSI+CHEX
# 10   #iv2  - version of parameterization of CHEX amplitude - 
#         10 - Gibbs-Loiseau (has only real part), 21 - SAID, 1021 - SAID+GL
#         10021 - SAID+GL (with Im part at p>p0 modelled using SAID's value
#         -21 SAID   - For details look at fpn_chex.f
# 3  # iv1  - version of FSI; 1- diagonal FSI using fpn.f, 2- diagonal FSI using f_NN_sd.f 
#         which uses SAID parameterization for plab<3.68, 3 - nondiagonal approximation 
#         using f_NN_sd.f. At p>1.4 it uses diffractive parametrization like fpn.f
# 0  # idd  - isd = 1 spectator mechanism, isd=2 direct mechanism isd =0 both   
# 3  # iw   - 1 - Paris 2 - V18 deuteron wave funcion, 3- cd Bonn, 4 - AV18sb
# 0  # ipp  - 1 - quasi "pp" wave functio - only S-parital wave, 0, both S and D waves
#    crs  - cross section in nb/GeV/str^2
#! thr0[f,0]/ phr0[f,1]/ pr[f,2]/ ei[f,3]/ omega[f,4]/ th_e[f,5]/ q2[f,6]/ x[f,7]/ plab[f,8]/ pf[f,9]/ crs0[f,10]/ crs12[f,11]/ ratio[f,12]/ ID[s,13]/ th_nq_mc[f,14]/ i_x[f,15]/ i_y[f,16]/ kin[s,17]/ 
34.4360008 327.35199 0.861186981 10.5458002 1.81402779 13.3999786 5.0137701 1.47284997 1.64167082 2.22541356 0.000833028345 0.000812245184 0.975051045 hrq4_7_23 34.436 7 23 thrq49 
38.1479988 351.11499 0.449077994 10.5458002 1.59303188 11.9474068 4.09039021 1.36829042 1.69934964 2.23860741 0.115912229 0.098950699 0.853669167 hrq4_8_12 38.125 8 12 thrq49 
38.1980019 345.466003 0.481153995 10.5483999 1.6137495 12.0837278 4.17647982 1.37915277 1.69425046 2.24564099 0.0758290291 0.0659752637 0.870052874 hrq4_8_13 38.152 8 13 thrq49 
37.6759987 344.57901 0.521580994 10.5455999 1.64433384 12.3008213 4.30999994 1.39677131 1.68279576 2.25815868 0.0445441529 0.0388044603 0.871145964 hrq4_8_14 37.634 8 14 thrq49 
38.0359993 344.36499 0.561565995 10.5460997 1.68096733 12.4846668 4.42147017 1.40166867 1.69861257 2.27619839 0.0272454247 0.0242323857 0.889411211 hrq4_8_15 37.996 8 15 thrq49 
37.9029999 342.940002 0.600134015 10.5452995 1.70893288 12.6475964 4.52208996 1.41010714 1.70122147 2.28451085 0.0171716269 0.0154565684 0.900122523 hrq4_8_16 37.864 8 16 thrq49 
37.9129982 341.084991 0.639908016 10.5445995 1.73599529 12.7897425 4.6090498 1.41481912 1.71007502 2.29008532 0.010847006 0.00982963573 0.906207263 hrq4_8_17 37.874 8 17 thrq49 
37.8989983 339.227997 0.679252982 10.5444002 1.76914883 12.9494553 4.70640993 1.41763186 1.7264725 2.30148172 0.00678186398 0.00633495674 0.934102595 hrq4_8_18 37.863 8 18 thrq49 
37.9770012 337.971985 0.719365001 10.5441999 1.79399014 13.057147 4.77092981 1.41716695 1.7438395 2.30244756 0.00433097593 0.00417780085 0.96463269 hrq4_8_19 37.944 8 19 thrq49 
38.0400009 335.78299 0.758525014 10.5439997 1.81444073 13.1367702 4.81755018 1.41488576 1.76203048 2.29839134 0.00280962209 0.00285224942 1.01517189 hrq4_8_20 38.007 8 20 thrq49 
38.1049995 333.895996 0.798013985 10.5437002 1.83635902 13.2130928 4.86089993 1.41057765 1.78546429 2.29486012 0.00180734927 0.0020104174 1.1123569 hrq4_8_21 38.074 8 21 thrq49 
38.3930016 331.164001 0.837306023 10.5438995 1.85884762 13.2612801 4.88382006 1.40008342 1.8223691 2.29128957 0.00116878061 0.00142284564 1.21737611 hrq4_8_22 38.368 8 22 thrq49 
38.5530014 328.429993 0.876938999 10.5436001 1.88215828 13.3140659 4.90908003 1.3898946 1.85956347 2.28761673 0.000744419172 0.00103430706 1.38941491 hrq4_8_23 38.531 8 23 thrq49 
38.7290001 325.286011 0.916261017 10.5448999 1.89966488 13.3267393 4.90979004 1.377285 1.89825773 2.27719593 0.000480397168 0.000794614665 1.6540786 hrq4_8_24 38.712 8 24 thrq49 
38.9710007 323.803986 0.957342982 10.5430002 1.92991638 13.3803806 4.9299202 1.36125505 1.95359206 2.27854323 0.000297569029 0.000605546345 2.03497767 hrq4_8_25 38.958 8 25 thrq49 
39.1529999 322.372986 0.993824005 10.5440998 1.95288467 13.4001474 4.93239021 1.34591889 2.00295258 2.27496624 0.000195988396 0.00048857514 2.49287796 hrq4_8_26 39.143 8 26 thrq49 
39.262001 321.536011 1.03380001 10.5423002 1.98041248 13.437561 4.94207001 1.32981491 2.05789161 2.27302957 0.000122965735 0.000377625227 3.07097936 hrq4_8_27 39.256 8 27 thrq49 
39.4819984 320.713989 1.07718003 10.5431004 2.01409721 13.4668226 4.94482994 1.30830503 2.13006735 2.27441812 7.43640121e-05 0.000289777498 3.89674377 hrq4_8_28 39.476 8 28 thrq49 
39.4830017 320.354004 1.11723995 10.5409002 2.03424644 13.4646769 4.9292798 1.29127252 2.18303084 2.2632966 4.77244503e-05 0.000231934842 4.85987473 hrq4_8_29 39.479 8 29 thrq49 
39.2929993 321.169006 1.15859997 10.5460997 2.07255173 13.5530748 4.97693014 1.27965879 2.23863006 2.27023768 2.88704887e-05 0.000167213337 5.79184294 hrq4_8_30 39.288 8 30 thrq49 
39.8370018 320.354004 1.18703997 10.5459003 2.13510609 13.6787767 5.0316 1.25581193 2.34228373 2.31384778 1.9848776e-05 0.000124977756 6.29649687 hrq4_8_31 39.837 8 31 thrq49 
42.1619987 347.687988 0.452497989 10.5438995 1.61683083 11.8775415 4.03052998 1.3284204 1.78959513 2.26278901 0.11736244 0.102313466 0.871773541 hrq4_9_12 42.131 9 12 thrq49 
42.4970016 347.687988 0.483583003 10.5466003 1.63222122 11.9602222 4.08187008 1.33265638 1.79343998 2.2644465 0.0809457973 0.0732684731 0.905154765 hrq4_9_13 42.461 9 13 thrq49 
42.7989998 343.73999 0.521072984 10.5447998 1.65740395 12.0866585 4.15498018 1.33591437 1.80627453 2.27257228 0.0515382923 0.0486732833 0.944410086 hrq4_9_14 42.769 9 14 thrq49 
42.8880005 342.746002 0.561215997 10.5452995 1.68654633 12.2279272 4.23880005 1.33931458 1.82157457 2.2824254 0.03217531 0.0317710936 0.987437069 hrq4_9_15 42.853 9 15 thrq49 
42.8889999 341.084991 0.600486994 10.5451002 1.71758652 12.3716393 4.32324982 1.34131193 1.8407284 2.29365706 0.0203088708 0.0211013313 1.03902042 hrq4_9_16 42.856 9 16 thrq49 
42.8289986 339.553986 0.639944017 10.5447998 1.75305271 12.5283766 4.41495991 1.34205365 1.86541653 2.30848622 0.0127082719 0.0138751529 1.0918206 hrq4_9_17 42.795 9 17 thrq49 
42.8260002 338.278992 0.67957902 10.5445004 1.78736496 12.666256 4.49438 1.3399688 1.8947742 2.32093501 0.00801994 0.00936998427 1.16833591 hrq4_9_18 42.791 9 18 thrq49 
42.8409996 337.368988 0.719439983 10.5440998 1.8229208 12.7981005 4.56902981 1.33565474 1.92963624 2.3336091 0.00505043659 0.00635538576 1.25838339 hrq4_9_19 42.806 9 19 thrq49 
42.8289986 336.063995 0.759311974 10.5441999 1.85732365 12.9167233 4.63549995 1.3299855 1.96665406 2.34411192 0.00318263401 0.00438882131 1.37899029 hrq4_9_20 42.793 9 20 thrq49 
42.8670006 335.78299 0.798969984 10.5439997 1.89241219 13.0247917 4.69382 1.32174826 2.00984859 2.35463762 0.00201602466 0.00309126871 1.53334868 hrq4_9_21 42.834 9 21 thrq49 
42.9889984 334.027008 0.838451028 10.5439997 1.9230938 13.0952187 4.72767019 1.31004024 2.05753016 2.35973883 0.00128866779 0.00227420148 1.76476943 hrq4_9_22 42.957 9 22 thrq49 
43.1049995 332.622986 0.878472984 10.5431995 1.95639324 13.1673374 4.7603898 1.29665482 2.11140823 2.36653113 0.000814165513 0.0016299506 2.00198913 hrq4_9_23 43.074 9 23 thrq49 
43.1879997 332.252014 0.918309987 10.5438995 1.99047089 13.2340918 4.79019022 1.28243375 2.16845083 2.37357378 0.000514228945 0.00125112745 2.4330163 hrq4_9_24 43.159 9 24 thrq49 
43.3129997 330.80899 0.957997024 10.5432997 2.02088833 13.2714214 4.79938984 1.26555669 2.2292316 2.3761301 0.000327076414 0.000924838299 2.82759094 hrq4_9_25 43.287 9 25 thrq49 
43.4869995 330.22699 0.998269975 10.5438995 2.0580225 13.3181515 4.8126502 1.24615538 2.30192924 2.3848269 0.00020504251 0.000698002346 3.40418363 hrq4_9_26 43.461 9 26 thrq49 
43.6549988 330.575012 1.03806996 10.5423002 2.10140038 13.3863392 4.83533001 1.2261833 2.38232279 2.40000463 0.000127758409 0.00049529993 3.87684798 hrq4_9_27 43.634 9 27 thrq49 
43.6780014 329.882996 1.07795 10.5431004 2.1332655 13.4095154 4.83451986 1.20766497 2.45111847 2.40220308 8.07076358e-05 0.000375981879 4.65856647 hrq4_9_28 43.658 9 28 thrq49 
43.8089981 330.342987 1.11869001 10.5432997 2.17621899 13.4544563 4.84217978 1.18570435 2.53849339 2.41507769 5.03151277e-05 0.000279538246 5.55574942 hrq4_9_29 43.789 9 29 thrq49 
43.8860016 331.28299 1.15742004 10.5436001 2.22402859 13.5261602 4.86604023 1.1659323 2.62665176 2.43431854 3.18023813e-05 0.000199690548 6.27910662 hrq4_9_30 43.869 9 30 thrq49 
43.9990005 330.342987 1.18454003 10.5416002 2.2563715 13.5587778 4.86831999 1.14975834 2.69392061 2.44630766 2.33690589e-05 0.000150585241 6.4437871 hrq4_9_31 43.987 9 31 thrq49 
46.3540001 349.113007 0.488171011 10.5452995 1.66738319 11.9105024 4.03107023 1.28831756 1.90263808 2.30018568 0.0803372264 0.0773087069 0.962302387 hrq4_10_13 46.326 10 13 thrq49 
47.1419983 346.410004 0.524622023 10.5450001 1.69145966 11.980051 4.06680012 1.28123653 1.93501735 2.30751038 0.0537628233 0.0579601489 1.07807112 hrq4_10_14 47.11 10 14 thrq49 
47.243 342.940002 0.562291026 10.5451002 1.7116003 12.0589409 4.11105013 1.27993631 1.95354056 2.30889511 0.0355801322 0.0410374701 1.15338159 hrq4_10_15 47.211 10 15 thrq49 
47.4650002 341.441986 0.601019025 10.5445995 1.73851585 12.1461916 4.15739012 1.27432454 1.98578537 2.31594563 0.023381941 0.0293195955 1.25394189 hrq4_10_16 47.432 10 16 thrq49 
47.6010017 340.220001 0.640478015 10.5447998 1.76883316 12.2394714 4.20689011 1.26739621 2.02357411 2.32518697 0.015207666 0.0216187891 1.42157185 hrq4_10_17 47.57 10 17 thrq49 
47.6020012 338.748993 0.679871976 10.5444002 1.80421829 12.3537159 4.26784992 1.26054394 2.06566119 2.33891964 0.00973824318 0.015381041 1.57944715 hrq4_10_18 47.571 10 18 thrq49 
47.7459984 338.434998 0.719524026 10.5445995 1.84616852 12.4712076 4.32840014 1.24937904 2.12219524 2.35859156 0.00620142696 0.0110758245 1.78601229 hrq4_10_19 47.715 10 19 thrq49 
47.7659988 337.220001 0.759640992 10.5439997 1.88483906 12.5745811 4.38005018 1.23834813 2.1765132 2.37350225 0.00393293751 0.00818539318 2.08124161 hrq4_10_20 47.735 10 20 thrq49 
47.8330002 336.205994 0.79945302 10.5438995 1.92552185 12.6706905 4.42600012 1.22490084 2.23827457 2.3899076 0.00249545183 0.00599798746 2.40356779 hrq4_10_21 47.801 10 21 thrq49 
47.868 336.347992 0.839389026 10.5438004 1.97103119 12.7796593 4.47827005 1.21075094 2.30656314 2.41058922 0.00156477769 0.00430623628 2.75197959 hrq4_10_22 47.837 10 22 thrq49 
47.8959999 336.063995 0.879023015 10.5436001 2.01439953 12.8703651 4.51863003 1.19536126 2.37678885 2.42840219 0.000985912862 0.00303682149 3.08021283 hrq4_10_23 47.864 10 23 thrq49 
47.9860001 336.063995 0.919243991 10.5433998 2.05442524 12.9270983 4.53679991 1.17678547 2.45224214 2.44151306 0.000626502151 0.00235397299 3.75732636 hrq4_10_24 47.957 10 24 thrq49 
48.0740013 336.347992 0.958893001 10.5433998 2.10096836 13.0021315 4.56422997 1.15767336 2.53603196 2.461339 0.000393279275 0.00169415015 4.30775356 hrq4_10_25 48.045 10 25 thrq49 
48.0929985 336.63501 0.998883009 10.5434999 2.14678574 13.0715952 4.58797979 1.13886142 2.62003136 2.4794898 0.000245102041 0.00119476893 4.87457752 hrq4_10_26 48.066 10 26 thrq49 
48.1689987 337.368988 1.03904998 10.5431995 2.19360733 13.126545 4.60036993 1.11756241 2.71225858 2.49797177 0.000153685178 0.000847028743 5.51145363 hrq4_10_27 48.143 10 27 thrq49 
48.2159996 337.820007 1.07883 10.5434999 2.24158192 13.1807165 4.61189985 1.09638572 2.8070612 2.51742458 9.64386127e-05 0.000551225094 5.71581316 hrq4_10_28 48.191 10 28 thrq49 
48.2420006 338.278992 1.11860001 10.5432997 2.28490448 13.2082424 4.60672998 1.07439208 2.90112472 2.53139877 6.14484961e-05 0.000369216112 6.00854588 hrq4_10_29 48.219 10 29 thrq49 
48.2610016 338.748993 1.15842998 10.5429001 2.33061028 13.2373486 4.60095978 1.05200279 3.0002265 2.54737568 3.93207265e-05 0.000171832609 4.37002611 hrq4_10_30 48.237 10 30 thrq49 
48.2480011 339.066986 1.18454003 10.5423002 2.36266613 13.2655621 4.60187006 1.03793466 3.06679511 2.55982804 2.94360034e-05 0.000130736749 4.44138908 hrq4_10_31 48.226 10 31 thrq49 
51.3129997 351.890015 0.527718008 10.5430002 1.74613667 11.9482851 4.0186801 1.22643101 2.08396196 2.36480403 0.0538363308 0.0675032809 1.25386107 hrq4_11_14 51.3 11 14 thrq49 
51.5509987 348.812988 0.564904988 10.5473003 1.77015877 12.0056562 4.04977989 1.21915054 2.11840105 2.370538 0.0363452993 0.0513771512 1.41358447 hrq4_11_15 51.531 11 15 thrq49 
51.8120003 346.410004 0.602918029 10.5450001 1.80254745 12.0896339 4.08930016 1.20892763 2.16609359 2.38379002 0.0241213776 0.0397581048 1.64825177 hrq4_11_16 51.786 11 16 thrq49 
51.9700012 344.57901 0.641488016 10.5452003 1.82795334 12.1346855 4.10792017 1.19755316 2.21055722 2.38820934 0.0163172018 0.0314137787 1.92519403 hrq4_11_17 51.945 11 17 thrq49 
52.1360016 343.136993 0.680837989 10.5441999 1.85876751 12.1882162 4.12859011 1.18362677 2.26540494 2.39698577 0.010883417 0.0252844021 2.32320428 hrq4_11_18 52.11 11 18 thrq49 
52.2639999 342.553986 0.719958007 10.5444002 1.89645863 12.2592211 4.15869999 1.16856313 2.3294611 2.4123497 0.0071681859 0.0193018951 2.69271684 hrq4_11_19 52.238 11 19 thrq49 
52.4269981 341.622986 0.759967029 10.5444002 1.93496895 12.3149767 4.17778015 1.15056086 2.4013412 2.42710567 0.00469637057 0.0150664691 3.20810914 hrq4_11_20 52.402 11 20 thrq49 
52.4169998 341.084991 0.799498022 10.5441999 1.97532845 12.385334 4.2054801 1.13452542 2.47197843 2.44330502 0.00304557197 0.0116581358 3.82789707 hrq4_11_21 52.391 11 21 thrq49 
52.5309982 341.261993 0.839861989 10.5440998 2.01784515 12.4361086 4.21877003 1.11413014 2.55514026 2.46041989 0.00197511632 0.00879686512 4.45384645 hrq4_11_22 52.505 11 22 thrq49 
52.5550003 340.562012 0.879378974 10.5443001 2.06103325 12.4901724 4.23401022 1.09472489 2.63830137 2.47808647 0.00127269945 0.00647151284 5.08487129 hrq4_11_23 52.531 11 23 thrq49 
52.5779991 340.908997 0.919152975 10.5438995 2.10554695 12.5383711 4.24386978 1.07407629 2.72700572 2.49627328 0.000818366942 0.00490211649 5.99012041 hrq4_11_24 52.555 11 24 thrq49 
52.5509987 341.261993 0.958938003 10.5439997 2.1524744 12.5918188 4.25626993 1.05372977 2.81906319 2.51634932 0.000520408736 0.00354368961 6.80943537 hrq4_11_25 52.528 11 25 thrq49 
52.4860001 341.622986 0.998907983 10.5439997 2.19738293 12.6312189 4.25992012 1.03307962 2.91148019 2.53349638 0.000331238552 0.00234943465 7.09287786 hrq4_11_26 52.463 11 26 thrq49 
52.3530006 341.804993 1.03857005 10.5438004 2.24180603 12.6713018 4.26388979 1.01355171 3.00242853 2.54977345 0.000210359765 0.00145908142 6.93612385 hrq4_11_27 52.332 11 27 thrq49 
52.2210007 342.175995 1.07834005 10.5437002 2.28823662 12.7106552 4.26622009 0.993528605 3.0982368 2.56754923 0.000133263573 0.000803472241 6.02919626 hrq4_11_28 52.201 11 28 thrq49 
52.0639992 342.364014 1.11787999 10.5437002 2.33155346 12.7335443 4.25906992 0.973436236 3.1925745 2.5816772 8.51871737e-05 0.000442958815 5.19983006 hrq4_11_29 52.044 11 29 thrq49 
51.8779984 342.940002 1.15741003 10.5437002 2.37806797 12.7681789 4.25791979 0.954138219 3.29001403 2.59873343 5.45450603e-05 0.000213533713 3.91481304 hrq4_11_30 51.86 11 30 thrq49 
51.7190018 343.136993 1.18445003 10.5436001 2.40613174 12.7777786 4.24954987 0.941155672 3.3529458 2.60614824 4.08094238e-05 0.000131815003 3.23001385 hrq4_11_31 51.703 11 31 thrq49 
55.7060013 355.561005 0.578061998 10.5481997 1.86175251 12.0586996 4.04364014 1.15741324 2.32076597 2.46146536 0.031315621 0.0620142184 1.98029661 hrq4_12_15 55.705 12 15 thrq49 
55.5390015 351.11499 0.61095202 10.5464001 1.85550785 11.9979439 4.00450993 1.15007091 2.32978988 2.43594551 0.0239414368 0.054504063 2.27655768 hrq4_12_16 55.53 12 16 thrq49 
55.9220009 350.063995 0.644738019 10.5479002 1.89445782 12.0601988 4.02916002 1.13335931 2.39942575 2.45755816 0.0167844333 0.046317637 2.75955915 hrq4_12_17 55.912 12 17 thrq49 
56.0740013 348.237 0.683221996 10.5447998 1.93135834 12.1168795 4.04698992 1.11662507 2.46829891 2.47327852 0.0112975258 0.0379211791 3.35659146 hrq4_12_18 56.064 12 18 thrq49 
56.2270012 348.522003 0.720302999 10.5451002 1.96918392 12.1625767 4.05981016 1.09864509 2.541749 2.48999715 0.00773439649 0.031233564 4.03826761 hrq4_12_19 56.215 12 19 thrq49 
56.1580009 347.421997 0.760317981 10.5454998 2.00726891 12.2116604 4.07468987 1.08175051 2.61432815 2.50422812 0.00509740552 0.0242035072 4.74820137 hrq4_12_20 56.147 12 20 thrq49 
56.2680016 347.421997 0.799658 10.5445995 2.05121422 12.2559624 4.08229017 1.06054914 2.70319295 2.52431536 0.00338048837 0.0187974107 5.5605607 hrq4_12_21 56.256 12 21 thrq49 
56.2350006 347.161011 0.839471996 10.5455999 2.09265804 12.2898483 4.08564997 1.0404011 2.7888515 2.54060459 0.00222419412 0.014054466 6.31890249 hrq4_12_22 56.225 12 22 thrq49 
56.0859985 346.906006 0.879392028 10.5446997 2.13477898 12.3324242 4.09260988 1.02161074 2.87364769 2.55677915 0.00144417433 0.00972539745 6.7342267 hrq4_12_23 56.076 12 23 thrq49 
56.012001 346.167999 0.919084013 10.5443001 2.17746067 12.3568621 4.0875802 1.00035453 2.9660821 2.57300568 0.000942586339 0.00626946334 6.65134096 hrq4_12_24 56.003 12 24 thrq49 
55.9669991 347.161011 0.958684981 10.5451002 2.22711277 12.3937988 4.08826017 0.978215098 3.0696454 2.59604669 0.000608239672 0.00356438011 5.86015701 hrq4_12_25 55.96 12 25 thrq49 
55.8190002 347.687988 0.997364998 10.5445995 2.27248859 12.4246283 4.08569002 0.958079934 3.16580153 2.61463261 0.000395567273 0.00191170233 4.83281231 hrq4_12_26 55.813 12 26 thrq49 
55.6860008 347.687988 1.03679001 10.5445004 2.31842041 12.4418602 4.07415009 0.936446428 3.26785135 2.63265967 0.000255610241 0.000938181765 3.67036057 hrq4_12_27 55.681 12 27 thrq49 
55.5830002 348.522003 1.07526004 10.5440998 2.36736679 12.4624548 4.06292009 0.914556801 3.37574553 2.65410185 0.00016647653 0.000451667118 2.71309781 hrq4_12_28 55.579 12 28 thrq49 
55.4319992 350.063995 1.11535001 10.5438995 2.41901016 12.4847441 4.05147982 0.892511725 3.48908973 2.67659473 0.000106835643 0.00022136113 2.07197833 hrq4_12_29 55.43 12 29 thrq49 
55.3470001 350.401001 1.15470004 10.5464001 2.46510506 12.4610462 4.01547003 0.868038356 3.60425425 2.69331455 7.1219547e-05 0.000109304165 1.53474951 hrq4_12_30 55.346 12 30 thrq49 
55.2830009 349.113007 1.18355 10.5395002 2.51047802 12.4991198 4.01118994 0.851441681 3.70025373 2.71753645 5.13702362e-05 6.51298906e-05 1.26785266 hrq4_12_31 55.283 12 31 thrq49 
